Das kompositorische Werk Emanuel Vogts,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
ID,Datum,Titel,Genre/Dokument,Besetzung,"Original, Kopie",Bemerkung
12f,1992,Blumenzyklus - Rosen im Haag,Klaviersatz,Piano,Kopie,Familie - Der Familie meines Sohnes Johannes in Erinnerung gewidmet. Vater Emanuel 1992
12f,,Psalm 130 - Aus der Tiefe rufe ich Herr,Psalm,gem. Chor,Kopie,"Familie - Für Annegret Krause, mit allen guten Wünschen und herzlichen Grüßen, Emanuel"
12g,1998,Verloren (Rosmarienheide),Chorsatz,gem. Chor,Kopie,
12h,1998,Liebessuche (H. Löns),Chorsatz,gem. Chor,Kopie,
12i,1989,Herr Uklatsch,Klaviersatz,Piano,Kopie,"Meiner lieben, fleißigen Nichte Franziska Hörisch am Schlänitz-See zur Freude am Klavier 
und zum Dank für's Notengeschenk zu meinem Geburtstag! In Liebe! Onkel Manuel"
12k,?,Ich war einmal ein Eskimo…,Klaviersatz,Piano,Kopie,Für meine liebe Nichte Franziska zum Spaß und zur Freude von ihrem alten Onkel Manuel
13,2000,Es lagen im Felde,Chorsatz,"gem. Chor, dreist.",Original,Frau Stehle und ihrem Dreigesang gewidmet
14,2000,"Hör, hör, hör so singen Engelchör",Chorsatz,"gem. Chor, dreist.",Original,Frau Stehle und ihrem Dreigesang gewidmet
14a,2000,"Hör, hör, hör so singen Engelchör",Chorsatz,Frauen,Original,Rückseite Blatt 21
15,,"EG 33, O Lebensbrünnlein…",Chorsatz,gem. Chor,Original,
16,1992,Fahren wir froh…,Chorsatz,Frauen,Original,
